Time	Requests
1998-07-02 00:00:00	11279
1998-07-02 00:01:00	10479
1998-07-02 00:02:00	10065
1998-07-02 00:03:00	9975
1998-07-02 00:04:00	10068
1998-07-02 00:05:00	9436
1998-07-02 00:06:00	9677
1998-07-02 00:07:00	10089
1998-07-02 00:08:00	10223
1998-07-02 00:09:00	10814
1998-07-02 00:10:00	11066
1998-07-02 00:11:00	10278
1998-07-02 00:12:00	10704
1998-07-02 00:13:00	10860
1998-07-02 00:14:00	11463
1998-07-02 00:15:00	11436
1998-07-02 00:16:00	11030
1998-07-02 00:17:00	11653
1998-07-02 00:18:00	11073
1998-07-02 00:19:00	10119
1998-07-02 00:20:00	10534
1998-07-02 00:21:00	10458
1998-07-02 00:22:00	11162
1998-07-02 00:23:00	10640
1998-07-02 00:24:00	10829
1998-07-02 00:25:00	10322
1998-07-02 00:26:00	10453
1998-07-02 00:27:00	9718
1998-07-02 00:28:00	9471
1998-07-02 00:29:00	10534
1998-07-02 00:30:00	10180
1998-07-02 00:31:00	10749
1998-07-02 00:32:00	11135
1998-07-02 00:33:00	10678
1998-07-02 00:34:00	9614
1998-07-02 00:35:00	9289
1998-07-02 00:36:00	9474
1998-07-02 00:37:00	10185
1998-07-02 00:38:00	9570
1998-07-02 00:39:00	9867
1998-07-02 00:40:00	10190
1998-07-02 00:41:00	10778
1998-07-02 00:42:00	10498
1998-07-02 00:43:00	10485
1998-07-02 00:44:00	9741
1998-07-02 00:45:00	10289
1998-07-02 00:46:00	10260
1998-07-02 00:47:00	10607
1998-07-02 00:48:00	9864
1998-07-02 00:49:00	10566
1998-07-02 00:50:00	10262
1998-07-02 00:51:00	11493
1998-07-02 00:52:00	10826
1998-07-02 00:53:00	10536
1998-07-02 00:54:00	10184
1998-07-02 00:55:00	9831
1998-07-02 00:56:00	9804
1998-07-02 00:57:00	11037
1998-07-02 00:58:00	10858
1998-07-02 00:59:00	11215
1998-07-02 01:00:00	10947
1998-07-02 01:01:00	10918
1998-07-02 01:02:00	10283
1998-07-02 01:03:00	9620
1998-07-02 01:04:00	10293
1998-07-02 01:05:00	10424
1998-07-02 01:06:00	10871
1998-07-02 01:07:00	10382
1998-07-02 01:08:00	10724
1998-07-02 01:09:00	9738
1998-07-02 01:10:00	10043
1998-07-02 01:11:00	10352
1998-07-02 01:12:00	9862
1998-07-02 01:13:00	10057
1998-07-02 01:14:00	10203
1998-07-02 01:15:00	10178
1998-07-02 01:16:00	10024
1998-07-02 01:17:00	9941
1998-07-02 01:18:00	9947
1998-07-02 01:19:00	10067
1998-07-02 01:20:00	10676
1998-07-02 01:21:00	9992
1998-07-02 01:22:00	10391
1998-07-02 01:23:00	10061
1998-07-02 01:24:00	10235
1998-07-02 01:25:00	10661
1998-07-02 01:26:00	10482
1998-07-02 01:27:00	11220
1998-07-02 01:28:00	10563
1998-07-02 01:29:00	11207
1998-07-02 01:30:00	9494
1998-07-02 01:31:00	9162
1998-07-02 01:32:00	9742
1998-07-02 01:33:00	10233
1998-07-02 01:34:00	10401
1998-07-02 01:35:00	10428
1998-07-02 01:36:00	9425
1998-07-02 01:37:00	9721
1998-07-02 01:38:00	9512
1998-07-02 01:39:00	10314
1998-07-02 01:40:00	9976
1998-07-02 01:41:00	10323
1998-07-02 01:42:00	10452
1998-07-02 01:43:00	9511
1998-07-02 01:44:00	9419
1998-07-02 01:45:00	9001
1998-07-02 01:46:00	9993
1998-07-02 01:47:00	10131
1998-07-02 01:48:00	9366
1998-07-02 01:49:00	9939
1998-07-02 01:50:00	9239
1998-07-02 01:51:00	9700
1998-07-02 01:52:00	9915
1998-07-02 01:53:00	9795
1998-07-02 01:54:00	11058
1998-07-02 01:55:00	10625
1998-07-02 01:56:00	10362
1998-07-02 01:57:00	9954
1998-07-02 01:58:00	9634
1998-07-02 01:59:00	9751
1998-07-02 02:00:00	9993
1998-07-02 02:01:00	10184
1998-07-02 02:02:00	9644
1998-07-02 02:03:00	9104
1998-07-02 02:04:00	9078
1998-07-02 02:05:00	9033
1998-07-02 02:06:00	9992
1998-07-02 02:07:00	9834
1998-07-02 02:08:00	9598
1998-07-02 02:09:00	10045
1998-07-02 02:10:00	10428
1998-07-02 02:11:00	10902
1998-07-02 02:12:00	10895
1998-07-02 02:13:00	10372
1998-07-02 02:14:00	10173
1998-07-02 02:15:00	10039
1998-07-02 02:16:00	9865
1998-07-02 02:17:00	10421
1998-07-02 02:18:00	10472
1998-07-02 02:19:00	10097
1998-07-02 02:20:00	11417
1998-07-02 02:21:00	10953
1998-07-02 02:22:00	10711
