Time	Requests
1998-04-30	2
1998-04-30	860
1998-04-30	822
1998-04-30	598
1998-04-30	805
1998-04-30	1413
1998-04-30	1071
1998-04-30	933
1998-04-30	792
1998-04-30	766
1998-04-30	799
1998-04-30	643
1998-04-30	700
1998-04-30	641
1998-04-30	752
1998-04-30	918
1998-04-30	985
1998-04-30	651
1998-04-30	899
1998-04-30	867
1998-04-30	851
1998-04-30	822
1998-04-30	582
1998-04-30	672
1998-04-30	823
1998-04-30	703
1998-04-30	880
1998-04-30	713
1998-04-30	690
1998-04-30	633
1998-04-30	837
1998-04-30	774
1998-04-30	887
1998-04-30	844
1998-04-30	790
1998-04-30	794
1998-04-30	723
1998-04-30	714
1998-04-30	711
1998-04-30	752
1998-04-30	766
1998-04-30	739
1998-04-30	732
1998-04-30	730
1998-04-30	769
1998-04-30	840
1998-04-30	734
1998-04-30	773
1998-04-30	854
1998-04-30	761
1998-04-30	645
1998-04-30	764
1998-04-30	715
1998-04-30	927
1998-04-30	773
1998-04-30	731
1998-04-30	826
1998-04-30	711
1998-04-30	659
1998-04-30	712
1998-04-30	692
1998-04-30	815
1998-04-30	718
1998-04-30	659
1998-04-30	793
1998-04-30	760
1998-04-30	721
1998-04-30	716
1998-04-30	842
1998-04-30	705
1998-04-30	816
1998-04-30	711
1998-04-30	691
1998-04-30	820
1998-04-30	865
1998-04-30	673
1998-04-30	764
1998-04-30	2
1998-04-30	32
1998-04-30	5
1998-04-30	34
1998-04-30	16
1998-04-30	16
1998-04-30	3
1998-04-30	8
1998-04-30	9
1998-04-30	64
1998-04-30	741
1998-04-30	624
1998-04-30	859
1998-04-30	1010
1998-04-30	1034
1998-04-30	2
1998-04-30	1056
1998-04-30	15
1998-04-30	4
1998-04-30	800
1998-04-30	11
1998-04-30	16
1998-04-30	7
1998-04-30	3
1998-04-30	2
1998-04-30	3
1998-04-30	4
1998-04-30	5
1998-04-30	9
1998-04-30	1
1998-04-30	5
1998-04-30	2
1998-04-30	4
1998-04-30	4
1998-04-30	32
1998-04-30	786
1998-04-30	4
1998-04-30	637
1998-04-30	988
1998-04-30	829
1998-04-30	837
1998-04-30	749
1998-04-30	805
1998-04-30	604
1998-04-30	806
1998-04-30	731
1998-04-30	1000
1998-04-30	828
1998-04-30	813
1998-04-30	813
1998-04-30	905
1998-04-30	708
1998-04-30	822
1998-04-30	981
1998-04-30	1007
1998-04-30	874
1998-04-30	925
1998-04-30	917
1998-04-30	1003
1998-04-30	1067
1998-04-30	1005
1998-04-30	1129
1998-04-30	1343
1998-04-30	941
1998-04-30	1028
1998-04-30	967
1998-04-30	891
1998-04-30	896
1998-04-30	942
1998-04-30	949
1998-04-30	812
1998-04-30	1028
1998-04-30	913
1998-05-01	1295
1998-05-01	945
1998-05-01	1387
1998-05-01	1252
1998-05-01	1215
1998-05-01	1365
1998-05-01	1163
1998-05-01	1242
1998-05-01	1111
1998-05-01	1394
1998-05-01	1064
1998-05-01	1022
1998-05-01	1243
1998-05-01	1376
1998-05-01	1450
1998-05-01	1418
1998-05-01	1152
1998-05-01	1403
1998-05-01	981
1998-05-01	1269
1998-05-01	1086
1998-05-01	932
1998-05-01	1302
1998-05-01	1251
1998-05-01	1104
1998-05-01	1101
1998-05-01	1068
1998-05-01	1188
1998-05-01	1298
1998-05-01	1435
1998-05-01	1513
1998-05-01	1482
1998-05-01	1210
1998-05-01	1390
1998-05-01	1497
1998-05-01	1283
1998-05-01	1293
1998-05-01	1324
1998-05-01	1499
1998-05-01	1324
1998-05-01	1287
1998-05-01	993
1998-05-01	1092
1998-05-01	1139
1998-05-01	1198
1998-05-01	1107
1998-05-01	1172
1998-05-01	1213
1998-05-01	1319
1998-05-01	1462
1998-05-01	1201
1998-05-01	1153
1998-05-01	1132
1998-05-01	1155
1998-05-01	1351
1998-05-01	1266
1998-05-01	1026
1998-05-01	1227
1998-05-01	1242
1998-05-01	1368
1998-05-01	1213
1998-05-01	1256
1998-05-01	1481
1998-05-01	1349
1998-05-01	1195
1998-05-01	1224
1998-05-01	1529
1998-05-01	1099
1998-05-01	1084
1998-05-01	1085
1998-05-01	956
1998-05-01	1176
1998-05-01	1135
1998-05-01	1198
1998-05-01	963
1998-05-01	1349
1998-05-01	1528
1998-05-01	1159
1998-05-01	1163
1998-05-01	1301
1998-05-01	1169
1998-05-01	1253
1998-05-01	1164
1998-05-01	1277
1998-05-01	1361
1998-05-01	1178
1998-05-01	1088
1998-05-01	1259
1998-05-01	1023
1998-05-01	1457
1998-05-01	1503
1998-05-01	1865
1998-05-01	1396
1998-05-01	1398
1998-05-01	1324
1998-05-01	1110
1998-05-01	1243
1998-05-01	1179
1998-05-01	1206
1998-05-01	906
1998-05-01	1291
1998-05-01	1293
1998-05-01	1235
1998-05-01	1174
1998-05-01	1081
1998-05-01	1221
1998-05-01	1498
1998-05-01	1247
1998-05-01	1066
1998-05-01	1155
1998-05-01	1132
1998-05-01	1339
1998-05-01	1116
1998-05-01	1021
1998-05-01	1332
1998-05-01	939
1998-05-01	1023
1998-05-01	908
1998-05-01	971
1998-05-01	896
1998-05-01	709
1998-05-01	881
1998-05-01	967
1998-05-01	1056
1998-05-01	998
1998-05-01	1176
1998-05-01	1214
1998-05-01	1299
1998-05-01	1366
1998-05-01	1180
1998-05-01	1438
1998-05-01	1083
1998-05-01	1546
1998-05-01	997
1998-05-01	1028
1998-05-01	1230
1998-05-01	1291
1998-05-01	1357
1998-05-01	1392
1998-05-01	1496
1998-05-01	1416
1998-05-01	1592
1998-05-01	1432
1998-05-01	1265
1998-05-01	1323
1998-05-01	1532
1998-05-01	1336
1998-05-01	1439
1998-05-01	1426
1998-05-01	1370
1998-05-01	1459
1998-05-01	1358
1998-05-01	1229
1998-05-01	1235
1998-05-01	1302
1998-05-01	1599
1998-05-01	1315
1998-05-01	908
1998-05-01	944
1998-05-01	965
1998-05-01	840
1998-05-01	846
1998-05-01	1064
1998-05-01	1125
1998-05-01	1043
1998-05-01	1146
1998-05-01	1345
1998-05-01	1151
1998-05-01	1178
1998-05-01	1287
1998-05-01	1385
1998-05-01	1362
1998-05-01	1321
1998-05-01	1140
1998-05-01	1272
1998-05-01	1373
1998-05-01	1091
1998-05-01	1172
1998-05-01	898
1998-05-01	1077
1998-05-01	1072
1998-05-01	1049
1998-05-01	1113
1998-05-01	875
1998-05-01	944
1998-05-01	915
1998-05-01	1037
1998-05-01	1287
1998-05-01	1261
1998-05-01	1104
1998-05-01	958
1998-05-01	912
1998-05-01	800
1998-05-01	922
1998-05-01	1026
1998-05-01	896
1998-05-01	1086
1998-05-01	977
1998-05-01	951
1998-05-01	1173
1998-05-01	891
1998-05-01	947
1998-05-01	838
1998-05-01	1103
1998-05-01	750
1998-05-01	993
1998-05-01	848
1998-05-01	970
1998-05-01	1199
1998-05-01	1152
1998-05-01	1207
1998-05-01	1008
1998-05-01	1159
1998-05-01	839
1998-05-01	892
1998-05-01	1026
1998-05-01	1371
1998-05-01	1180
1998-05-01	1135
1998-05-01	1048
1998-05-01	1063
1998-05-01	878
1998-05-01	863
1998-05-01	823
1998-05-01	923
1998-05-01	1115
1998-05-01	945
1998-05-01	907
1998-05-01	1046
1998-05-01	1001
1998-05-01	1117
1998-05-01	1264
1998-05-01	1143
1998-05-01	1117
1998-05-01	1192
1998-05-01	861
1998-05-01	993
1998-05-01	853
1998-05-01	1112
1998-05-01	1074
1998-05-01	1065
1998-05-01	888
1998-05-01	965
1998-05-01	912
1998-05-01	1119
1998-05-01	1012
1998-05-01	915
1998-05-01	905
1998-05-01	1395
1998-05-01	1147
1998-05-01	1279
1998-05-01	959
1998-05-01	1081
1998-05-01	1433
1998-05-01	1106
1998-05-01	962
1998-05-01	1163
1998-05-01	1074
1998-05-01	907
1998-05-01	1090
1998-05-01	1022
1998-05-01	713
1998-05-01	683
1998-05-01	700
1998-05-01	867
1998-05-01	945
1998-05-01	966
1998-05-01	1312
1998-05-01	841
1998-05-01	921
1998-05-01	1175
1998-05-01	1354
1998-05-01	977
1998-05-01	1057
1998-05-01	1241
1998-05-01	1417
1998-05-01	1249
1998-05-01	1406
1998-05-01	1260
1998-05-01	1346
1998-05-01	1092
1998-05-01	970
1998-05-01	1215
1998-05-01	1027
1998-05-01	1171
1998-05-01	1061
1998-05-01	1266
1998-05-01	1132
1998-05-01	1256
1998-05-01	1395
1998-05-01	1298
1998-05-01	1195
1998-05-01	1411
1998-05-01	1065
1998-05-01	1270
1998-05-01	1263
1998-05-01	1295
1998-05-01	1225
1998-05-01	1205
1998-05-01	1320
1998-05-01	1261
1998-05-01	1259
1998-05-01	1348
1998-05-01	1253
1998-05-01	1210
1998-05-01	1306
1998-05-01	1418
1998-05-01	1436
1998-05-01	1356
1998-05-01	1121
1998-05-01	1294
1998-05-01	1303
1998-05-01	690
1998-05-01	1449
1998-05-01	1038
1998-05-01	904
1998-05-01	1043
1998-05-01	1103
1998-05-01	862
1998-05-01	1128
1998-05-01	1331
1998-05-01	1450
1998-05-01	1176
1998-05-01	1079
1998-05-01	1177
1998-05-01	1282
1998-05-01	1267
1998-05-01	1006
1998-05-01	1030
1998-05-01	1040
1998-05-01	718
1998-05-01	924
1998-05-01	721
1998-05-01	1179
1998-05-01	1117
1998-05-01	914
1998-05-01	1030
1998-05-01	1272
1998-05-01	1059
1998-05-01	1258
1998-05-01	1233
1998-05-01	1059
1998-05-01	1157
1998-05-01	1126
1998-05-01	1228
1998-05-01	1173
1998-05-01	1197
1998-05-01	996
1998-05-01	876
1998-05-01	856
1998-05-01	1032
1998-05-01	992
1998-05-01	886
1998-05-01	926
1998-05-01	767
1998-05-01	819
1998-05-01	968
1998-05-01	890
1998-05-01	752
1998-05-01	773
1998-05-01	561
1998-05-01	504
1998-05-01	471
1998-05-01	420
1998-05-01	401
1998-05-01	373
1998-05-01	352
1998-05-01	430
1998-05-01	678
1998-05-01	503
1998-05-01	420
1998-05-01	354
1998-05-01	432
1998-05-01	429
1998-05-01	615
1998-05-01	576
1998-05-01	539
1998-05-01	538
1998-05-01	400
1998-05-01	427
1998-05-01	351
1998-05-01	477
1998-05-01	511
1998-05-01	791
1998-05-01	756
1998-05-01	614
1998-05-01	622
1998-05-01	723
1998-05-01	716
1998-05-01	738
1998-05-01	855
1998-05-01	736
1998-05-01	547
1998-05-01	449
1998-05-01	372
1998-05-01	349
1998-05-01	385
1998-05-01	401
1998-05-01	400
1998-05-01	390
1998-05-01	451
1998-05-01	457
1998-05-01	676
1998-05-01	686
1998-05-01	528
1998-05-01	903
1998-05-01	779
1998-05-01	783
1998-05-01	796
1998-05-01	697
1998-05-01	808
1998-05-01	874
1998-05-01	714
1998-05-01	703
1998-05-01	658
1998-05-01	607
1998-05-01	877
1998-05-01	829
1998-05-01	910
1998-05-01	996
1998-05-01	856
1998-05-01	873
1998-05-01	879
1998-05-01	566
1998-05-01	615
1998-05-01	791
1998-05-01	731
1998-05-01	520
1998-05-01	562
1998-05-01	497
1998-05-01	481
1998-05-01	465
1998-05-01	685
1998-05-01	526
1998-05-01	660
1998-05-01	473
1998-05-01	555
1998-05-01	778
1998-05-01	773
1998-05-01	575
1998-05-01	363
1998-05-01	347
1998-05-01	560
1998-05-01	479
1998-05-01	709
1998-05-01	703
1998-05-01	581
1998-05-01	847
1998-05-01	507
1998-05-01	506
1998-05-01	363
1998-05-01	390
1998-05-01	431
1998-05-01	521
1998-05-01	480
1998-05-01	489
1998-05-01	446
1998-05-01	497
1998-05-01	424
1998-05-01	518
1998-05-01	517
1998-05-01	550
1998-05-01	454
1998-05-01	875
1998-05-01	623
1998-05-01	697
1998-05-01	709
1998-05-01	563
1998-05-01	467
1998-05-01	422
1998-05-01	465
1998-05-01	502
1998-05-01	543
1998-05-01	665
1998-05-01	400
1998-05-01	466
1998-05-01	488
1998-05-01	454
1998-05-01	504
1998-05-01	503
1998-05-01	587
1998-05-01	522
1998-05-01	509
1998-05-01	487
1998-05-01	440
1998-05-01	560
1998-05-01	465
1998-05-01	497
1998-05-01	422
1998-05-01	422
1998-05-01	452
1998-05-01	658
1998-05-01	475
1998-05-01	490
1998-05-01	595
1998-05-01	486
1998-05-01	498
1998-05-01	511
1998-05-01	765
1998-05-01	778
1998-05-01	778
1998-05-01	572
1998-05-01	546
1998-05-01	526
1998-05-01	436
1998-05-01	553
1998-05-01	487
1998-05-01	554
1998-05-01	553
1998-05-01	491
1998-05-01	499
1998-05-01	470
1998-05-01	578
1998-05-01	508
1998-05-01	459
1998-05-01	446
1998-05-01	466
1998-05-01	528
1998-05-01	695
1998-05-01	622
1998-05-01	588
1998-05-01	536
1998-05-01	386
1998-05-01	451
1998-05-01	459
1998-05-01	627
1998-05-01	456
1998-05-01	575
1998-05-01	529
1998-05-01	549
1998-05-01	673
1998-05-01	459
1998-05-01	529
1998-05-01	489
1998-05-01	477
1998-05-01	529
1998-05-01	467
1998-05-01	920
1998-05-01	872
1998-05-01	966
1998-05-01	1168
1998-05-01	1245
1998-05-01	1181
1998-05-01	1226
1998-05-01	1157
1998-05-01	791
1998-05-01	868
1998-05-01	1162
1998-05-01	1128
1998-05-01	1208
1998-05-01	1080
1998-05-01	1267
1998-05-01	1166
1998-05-01	900
1998-05-01	1020
1998-05-01	798
1998-05-01	898
1998-05-01	769
1998-05-01	929
1998-05-01	813
1998-05-01	892
1998-05-01	856
1998-05-01	1129
1998-05-01	1135
1998-05-01	1125
1998-05-01	1238
1998-05-01	939
1998-05-01	885
1998-05-01	958
1998-05-01	1036
1998-05-01	891
1998-05-01	800
1998-05-01	912
1998-05-01	970
1998-05-01	1045
1998-05-01	898
1998-05-01	879
1998-05-01	982
1998-05-01	992
1998-05-01	1160
1998-05-01	1012
1998-05-01	1121
1998-05-01	1071
1998-05-01	963
1998-05-01	806
1998-05-01	1432
1998-05-01	1488
1998-05-01	1366
1998-05-01	1248
1998-05-01	1146
1998-05-01	1444
1998-05-01	1371
1998-05-01	1336
1998-05-01	1308
1998-05-01	1170
1998-05-01	1397
1998-05-01	1331
1998-05-01	1232
1998-05-01	1222
1998-05-01	1307
1998-05-01	1018
1998-05-01	908
1998-05-01	832
1998-05-01	1291
1998-05-01	1192
1998-05-01	1234
1998-05-01	1323
1998-05-01	928
1998-05-01	990
1998-05-01	1000
1998-05-01	1260
1998-05-01	1306
1998-05-01	1206
1998-05-01	1201
1998-05-01	1393
1998-05-01	1130
1998-05-01	1443
1998-05-01	1107
1998-05-01	1177
1998-05-01	965
1998-05-01	1211
1998-05-01	1128
1998-05-01	1317
1998-05-01	1233
1998-05-01	1302
1998-05-01	1255
1998-05-01	1016
1998-05-01	1172
1998-05-01	1052
1998-05-01	1361
1998-05-01	841
1998-05-01	764
1998-05-01	840
1998-05-01	878
1998-05-01	861
1998-05-01	893
1998-05-01	660
1998-05-01	836
1998-05-01	818
1998-05-01	640
1998-05-01	937
1998-05-01	879
1998-05-01	763
1998-05-01	808
1998-05-01	771
1998-05-01	690
1998-05-01	872
1998-05-01	1113
1998-05-01	822
1998-05-01	718
1998-05-01	829
1998-05-01	678
1998-05-01	1103
1998-05-01	1059
1998-05-01	843
1998-05-01	1087
1998-05-01	1163
1998-05-01	1034
1998-05-01	1122
1998-05-01	1411
1998-05-01	1267
1998-05-01	1116
1998-05-01	1017
1998-05-01	958
1998-05-01	1089
1998-05-01	1181
1998-05-01	1120
1998-05-01	943
1998-05-01	945
1998-05-01	792
1998-05-01	841
1998-05-01	1061
1998-05-01	901
1998-05-01	1048
1998-05-01	702
1998-05-01	1142
1998-05-01	914
1998-05-01	858
1998-05-01	930
1998-05-01	1150
1998-05-01	1254
1998-05-01	1071
1998-05-01	1208
1998-05-01	1059
1998-05-01	797
1998-05-01	952
1998-05-01	877
1998-05-01	992
1998-05-01	1089
1998-05-01	1114
1998-05-01	1225
1998-05-01	1153
1998-05-01	1322
1998-05-01	1333
1998-05-01	865
1998-05-01	1052
1998-05-01	1095
1998-05-01	1076
1998-05-01	885
1998-05-01	962
1998-05-01	767
1998-05-01	839
1998-05-01	890
1998-05-01	926
1998-05-01	1058
1998-05-01	856
1998-05-01	1096
1998-05-01	1007
1998-05-01	791
1998-05-01	946
1998-05-01	891
1998-05-01	960
1998-05-01	1047
1998-05-01	1077
1998-05-01	1038
1998-05-01	1020
1998-05-01	927
1998-05-01	1031
1998-05-01	1005
1998-05-01	1417
1998-05-01	701
1998-05-01	443
1998-05-01	607
1998-05-01	675
1998-05-01	621
1998-05-01	573
1998-05-01	437
