requests	delay	replicas
10000	390	1
10000	342	2
10000	327	3
10000	320	4
10000	316	5
10000	313	6
10000	311	7
10000	310	8
10000	308	9
10000	308	10
10000	307	11
10000	306	12
11000	400	1
11000	346	2
11000	330	3
11000	322	4
11000	317	5
11000	314	6
11000	312	7
11000	311	8
11000	309	9
11000	308	10
11000	308	11
11000	307	12
12000	411	1
12000	351	2
12000	333	3
12000	324	4
12000	319	5
12000	316	6
12000	313	7
12000	312	8
12000	310	9
12000	309	10
12000	308	11
12000	308	12
13000	422	1
13000	355	2
13000	336	3
13000	326	4
13000	321	5
13000	317	6
13000	315	7
13000	313	8
13000	311	9
13000	310	10
13000	309	11
13000	308	12
14000	433	1
14000	360	2
14000	339	3
14000	328	4
14000	322	5
14000	319	6
14000	316	7
14000	314	8
14000	312	9
14000	311	10
14000	310	11
14000	309	12
15000	445	1
15000	365	2
15000	342	3
15000	331	4
15000	324	5
15000	320	6
15000	317	7
15000	315	8
15000	313	9
15000	312	10
15000	310	11
15000	310	12
16000	457	1
16000	370	2
16000	345	3
16000	333	4
16000	326	5
16000	321	6
16000	318	7
16000	316	8
16000	314	9
16000	312	10
16000	311	11
16000	310	12
17000	469	1
17000	375	2
17000	348	3
17000	335	4
17000	328	5
17000	323	6
17000	319	7
17000	317	8
17000	315	9
17000	313	10
17000	312	11
17000	311	12
18000	481	1
18000	380	2
18000	351	3
18000	337	4
18000	329	5
18000	324	6
18000	321	7
18000	318	8
18000	316	9
18000	314	10
18000	313	11
18000	312	12
19000	494	1
19000	385	2
19000	354	3
19000	339	4
19000	331	5
19000	326	6
19000	322	7
19000	319	8
19000	317	9
19000	315	10
19000	313	11
19000	312	12
20000	390	2
20000	357	3
20000	342	4
20000	333	5
20000	327	6
20000	323	7
20000	320	8
20000	318	9
20000	316	10
20000	314	11
20000	313	12
21000	395	2
21000	360	3
21000	344	4
21000	335	5
21000	328	6
21000	324	7
21000	321	8
21000	319	9
21000	317	10
21000	315	11
21000	314	12
22000	400	2
22000	363	3
22000	346	4
22000	336	5
22000	330	6
22000	325	7
22000	322	8
22000	319	9
22000	317	10
22000	316	11
22000	314	12
23000	406	2
23000	367	3
23000	349	4
23000	338	5
23000	331	6
23000	327	7
23000	323	8
23000	320	9
23000	318	10
23000	316	11
23000	315	12
24000	411	2
24000	370	3
24000	351	4
24000	340	5
24000	333	6
24000	328	7
24000	324	8
24000	321	9
24000	319	10
24000	317	11
24000	316	12
25000	416	2
25000	373	3
25000	353	4
25000	342	5
25000	334	6
25000	329	7
25000	325	8
25000	322	9
25000	320	10
25000	318	11
25000	316	12
26000	422	2
26000	376	3
26000	355	4
26000	344	5
26000	336	6
26000	330	7
26000	326	8
26000	323	9
26000	321	10
26000	319	11
26000	317	12
27000	427	2
27000	380	3
27000	358	4
27000	345	5
27000	337	6
27000	332	7
27000	327	8
27000	324	9
27000	322	10
27000	320	11
27000	318	12
28000	433	2
28000	383	3
28000	360	4
28000	347	5
28000	339	6
28000	333	7
28000	328	8
28000	325	9
28000	322	10
28000	320	11
28000	319	12
29000	439	2
29000	386	3
29000	363	4
29000	349	5
29000	340	6
29000	334	7
29000	330	8
29000	326	9
29000	323	10
29000	321	11
29000	319	12
30000	445	2
30000	390	3
30000	365	4
30000	351	5
30000	342	6
30000	335	7
30000	331	8
30000	327	9
30000	324	10
30000	322	11
30000	320	12
31000	451	2
31000	393	3
31000	367	4
31000	353	5
31000	343	6
31000	337	7
31000	332	8
31000	328	9
31000	325	10
31000	323	11
31000	321	12
32000	457	2
32000	397	3
32000	370	4
32000	355	5
32000	345	6
32000	338	7
32000	333	8
32000	329	9
32000	326	10
32000	323	11
32000	321	12
33000	463	2
33000	400	3
33000	372	4
33000	356	5
33000	346	6
33000	339	7
33000	334	8
33000	330	9
33000	327	10
33000	324	11
33000	322	12
34000	469	2
34000	404	3
34000	375	4
34000	358	5
34000	348	6
34000	340	7
34000	335	8
34000	331	9
34000	328	10
34000	325	11
34000	323	12
35000	475	2
35000	407	3
35000	377	4
35000	360	5
35000	349	6
35000	342	7
35000	336	8
35000	332	9
35000	328	10
35000	326	11
35000	323	12
36000	481	2
36000	411	3
36000	380	4
36000	362	5
36000	351	6
36000	343	7
36000	337	8
36000	333	9
36000	329	10
36000	326	11
36000	324	12
37000	488	2
37000	415	3
37000	382	4
37000	364	5
37000	352	6
37000	344	7
37000	338	8
37000	334	9
37000	330	10
37000	327	11
37000	325	12
38000	494	2
38000	418	3
38000	385	4
38000	366	5
38000	354	6
38000	346	7
38000	339	8
38000	335	9
38000	331	10
38000	328	11
38000	326	12
39000	422	3
39000	387	4
39000	368	5
39000	355	6
39000	347	7
39000	341	8
39000	336	9
39000	332	10
39000	329	11
39000	326	12
40000	426	3
40000	390	4
40000	370	5
40000	357	6
40000	348	7
40000	342	8
40000	337	9
40000	333	10
40000	330	11
40000	327	12
41000	429	3
41000	392	4
41000	372	5
41000	359	6
41000	350	7
41000	343	8
41000	338	9
41000	334	10
41000	330	11
41000	328	12
42000	433	3
42000	395	4
42000	374	5
42000	360	6
42000	351	7
42000	344	8
42000	339	9
42000	335	10
42000	331	11
42000	328	12
43000	437	3
43000	398	4
43000	376	5
43000	362	6
43000	352	7
43000	345	8
43000	340	9
43000	335	10
43000	332	11
43000	329	12
44000	441	3
44000	400	4
44000	378	5
44000	363	6
44000	353	7
44000	346	8
44000	341	9
44000	336	10
44000	333	11
44000	330	12
45000	445	3
45000	403	4
45000	380	5
45000	365	6
45000	355	7
45000	347	8
45000	342	9
45000	337	10
45000	334	11
45000	331	12
46000	449	3
46000	406	4
46000	382	5
46000	367	6
46000	356	7
46000	349	8
46000	343	9
46000	338	10
46000	334	11
46000	331	12
47000	453	3
47000	408	4
47000	384	5
47000	368	6
47000	357	7
47000	350	8
47000	344	9
47000	339	10
47000	335	11
47000	332	12
48000	457	3
48000	411	4
48000	386	5
48000	370	6
48000	359	7
48000	351	8
48000	345	9
48000	340	10
48000	336	11
48000	333	12
49000	461	3
49000	414	4
49000	388	5
49000	371	6
49000	360	7
49000	352	8
49000	346	9
49000	341	10
49000	337	11
49000	334	12
50000	465	3
50000	416	4
50000	390	5
50000	373	6
50000	362	7
50000	353	8
50000	347	9
50000	342	10
50000	338	11
50000	334	12
51000	469	3
51000	419	4
51000	392	5
51000	375	6
51000	363	7
51000	354	8
51000	348	9
51000	343	10
51000	338	11
51000	335	12
52000	473	3
52000	422	4
52000	394	5
52000	376	6
52000	364	7
52000	355	8
52000	349	9
52000	344	10
52000	339	11
52000	336	12
53000	477	3
53000	425	4
53000	396	5
53000	378	6
53000	366	7
53000	357	8
53000	350	9
53000	344	10
53000	340	11
53000	336	12
54000	481	3
54000	427	4
54000	398	5
54000	380	6
54000	367	7
54000	358	8
54000	351	9
54000	345	10
54000	341	11
54000	337	12
55000	486	3
55000	430	4
55000	400	5
55000	381	6
55000	368	7
55000	359	8
55000	352	9
55000	346	10
55000	342	11
55000	338	12
56000	490	3
56000	433	4
56000	402	5
56000	383	6
56000	370	7
56000	360	8
56000	353	9
56000	347	10
56000	343	11
56000	339	12
57000	494	3
57000	436	4
57000	404	5
57000	385	6
57000	371	7
57000	361	8
57000	354	9
57000	348	10
57000	343	11
57000	339	12
58000	499	3
58000	439	4
58000	407	5
58000	386	6
58000	373	7
58000	363	8
58000	355	9
58000	349	10
58000	344	11
58000	340	12
59000	442	4
59000	409	5
59000	388	6
59000	374	7
59000	364	8
59000	356	9
59000	350	10
59000	345	11
59000	341	12
60000	445	4
60000	411	5
60000	390	6
60000	375	7
60000	365	8
60000	357	9
60000	351	10
60000	346	11
60000	342	12
61000	448	4
61000	413	5
61000	392	6
61000	377	7
