requests	delay	replicas
10946	400	1
11208	402	1
11404	405	1
11804	409	1
12052	411	1
12757	419	1
12995	422	1
14300	437	1
14502	439	1
14598	440	1
15015	445	1
15069	446	1
16006	457	1
16129	458	1
16728	465	1
18203	484	1
18402	486	1
18896	493	1
19241	497	1
19973	390	2
20894	394	2
22132	401	2
22391	402	2
25000	416	2
25276	418	2
26866	427	2
28151	434	2
28696	437	2
28745	437	2
29077	439	2
29251	440	2
30341	447	2
30437	447	2
30852	450	2
31365	453	2
31433	453	2
31995	457	2
32840	462	2
33490	466	2
33525	466	2
35747	480	2
36582	485	2
37006	488	2
38109	495	2
41260	430	3
42046	433	3
42341	434	3
43069	437	3
43584	439	3
44204	442	3
44370	442	3
44771	444	3
45270	446	3
45533	447	3
45909	448	3
45914	448	3
46027	449	3
47585	455	3
48128	457	3
48359	458	3
48979	461	3
49001	461	3
49217	462	3
49551	463	3
50051	465	3
50757	468	3
50942	469	3
51776	472	3
52019	473	3
52020	473	3
52099	473	3
52825	476	3
53480	479	3
54251	482	3
54774	485	3
54872	485	3
55189	486	3
55234	487	3
55468	488	3
55808	489	3
55900	489	3
55951	490	3
57149	495	3
58918	442	4
59017	442	4
59114	442	4
59545	443	4
59572	443	4
60272	446	4
61887	450	4
62491	452	4
63138	454	4
63999	457	4
64170	457	4
64176	457	4
64305	458	4
64414	458	4
64432	458	4
64610	458	4
64822	459	4
66663	465	4
68485	470	4
69569	474	4
69918	475	4
70100	475	4
70592	477	4
70928	478	4
71008	478	4
71290	479	4
71805	481	4
72547	483	4
72851	484	4
73292	485	4
73323	486	4
74787	490	4
75699	493	4
75712	493	4
75803	494	4
76742	497	4
77527	499	4
78196	452	5
78372	453	5
79693	456	5
79717	456	5
80002	457	5
80490	458	5
80716	458	5
80762	458	5
80951	459	5
81527	460	5
81827	461	5
82898	464	5
83442	465	5
83547	465	5
83565	465	5
84651	468	5
84686	468	5
85395	470	5
86316	472	5
87484	475	5
87679	475	5
88439	477	5
89213	479	5
89319	480	5
89611	480	5
89731	481	5
89809	481	5
91709	486	5
92445	488	5
92642	488	5
93326	490	5
93861	491	5
94256	492	5
94941	494	5
95626	496	5
95729	496	5
96150	497	5
97483	460	6
98545	462	6
99874	464	6
100126	465	6
101360	467	6
102994	471	6
104381	474	6
104431	474	6
104847	475	6
105626	476	6
106144	477	6
106168	477	6
106896	479	6
107800	481	6
108931	483	6
109384	484	6
109669	485	6
110342	486	6
110817	487	6
110996	488	6
111013	488	6
111493	489	6
111578	489	6
113212	492	6
114103	494	6
114580	495	6
114608	495	6
116276	499	6
116335	499	6
116388	499	6
117199	466	7
117409	466	7
118828	468	7
118919	469	7
119187	469	7
119274	469	7
120140	471	7
120759	472	7
121413	473	7
122435	475	7
122486	475	7
123559	477	7
125213	480	7
126369	482	7
126479	482	7
126575	482	7
128276	485	7
129446	488	7
129688	488	7
129890	488	7
129991	489	7
130002	489	7
130315	489	7
130484	490	7
131468	491	7
132699	494	7
132856	494	7
133997	496	7
134776	497	7
135123	498	7
135500	499	7
135540	499	7
136088	469	8
136329	469	8
136350	469	8
137812	472	8
138643	473	8
138704	473	8
139547	474	8
140032	475	8
140188	475	8
141874	478	8
142176	478	8
142271	479	8
142724	479	8
142923	480	8
143417	480	8
144001	481	8
144914	483	8
144971	483	8
145101	483	8
146117	485	8
146709	486	8
147099	486	8
147873	487	8
147878	488	8
148508	489	8
148801	489	8
149701	490	8
150506	492	8
150629	492	8
150817	492	8
152036	494	8
152255	495	8
152342	495	8
152933	496	8
154413	498	8
154807	499	8
154814	499	8
154842	499	8
155045	499	8
155514	472	9
155583	472	9
156724	474	9
158372	476	9
158418	476	9
158716	477	9
159253	477	9
159319	478	9
159393	478	9
159672	478	9
159808	478	9
160583	479	9
160595	479	9
161038	480	9
161174	480	9
161176	480	9
161479	481	9
161740	481	9
163352	483	9
163757	484	9
163893	484	9
164021	484	9
164404	485	9
164834	485	9
164863	485	9
165257	486	9
166092	487	9
166568	488	9
169067	491	9
169331	492	9
169447	492	9
169476	492	9
169614	492	9
169964	493	9
170768	494	9
170784	494	9
171019	494	9
171273	495	9
172001	496	9
172893	497	9
173003	497	9
173211	497	9
173978	498	9
174411	499	9
175502	476	10
175755	476	10
177865	479	10
179401	481	10
181875	484	10
182604	485	10
183149	485	10
183399	486	10
184280	487	10
184695	487	10
184884	488	10
186523	490	10
186728	490	10
189493	493	10
189600	494	10
189755	494	10
190238	494	10
190382	495	10
190758	495	10
190784	495	10
191737	496	10
191886	497	10
191891	497	10
192373	497	10
192429	497	10
192683	498	10
193482	499	10
194849	478	11
195199	478	11
196416	479	11
196644	480	11
196902	480	11
197009	480	11
197209	480	11
197888	481	11
197950	481	11
