model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,500,64,4,4,4,0.0047142314317576645,0.06866026093569456,0.06475155664537459,-0.007928666969192033
double_lstm_with_attention,500,64,8,4,4,0.0008699289425451998,0.029494557846240037,0.025585171242392703,0.8140043966635333
double_lstm_with_attention,500,64,16,4,4,0.012495448193098507,0.11178304072218874,0.10694607978590817,-1.6715957039378115
double_lstm_with_attention,1000,64,4,4,4,0.0018360373273844928,0.04284900614231902,0.04067035057928034,0.6074450983823784
double_lstm_with_attention,1000,64,16,4,4,0.0008690040977698874,0.029478875449546704,0.026427586659639086,0.814202133574635
double_lstm_with_attention,1000,64,8,4,4,0.003601119611777616,0.06000932937283682,0.056966713898811736,0.23006077609084807
double_lstm_with_attention,1500,64,4,4,4,0.0006654703752044667,0.025796712488308792,0.0234208361730699,0.8577187654240294
double_lstm_with_attention,1500,64,16,4,4,0.004327584458236964,0.06578437852740546,0.06294101819623826,0.07473858733297778
double_lstm_with_attention,1500,64,8,4,4,0.0038829641325620785,0.062313434607330694,0.058585503537732814,0.1698008638996179
double_lstm_with_attention,2000,64,16,4,4,0.0002558833139376776,0.01599635314494143,0.01341532100060973,0.9452907369418854
double_lstm_with_attention,2000,64,4,4,4,0.00864955238372386,0.09300296975755054,0.08871920121969307,-0.8493219796713498
double_lstm_with_attention,2000,64,8,4,4,0.0003273087770357438,0.018091677010043702,0.016588131341349864,0.9300195792038255
double_lstm_with_attention,2500,64,16,4,4,0.007895646357119536,0.08885744964334469,0.08440159677417482,-0.6881327153309653
double_lstm_with_attention,2500,64,4,4,4,0.0015467132692352037,0.03932827569618586,0.035153646266990475,0.6693041768926165
double_lstm_with_attention,2500,64,8,4,4,0.004801570347596965,0.06929336438358989,0.055111148320506446,-0.026602208625083446
double_lstm_with_attention,3000,64,16,4,4,0.005651657140486188,0.07517750421825792,0.07127679571804542,-0.2083554509866894
double_lstm_with_attention,3000,64,4,4,4,0.0021984867966029996,0.046888024021097326,0.042938872489096946,0.5299514038870079
double_lstm_with_attention,3000,64,8,4,4,0.0025509723467018355,0.05050715144117549,0.048250637045931404,0.454588050224806
double_lstm_with_attention,3500,64,16,4,4,0.004434406390351191,0.06659133870370224,0.06326299863688761,0.05189946939879042
double_lstm_with_attention,3500,64,4,4,4,0.010733766897995852,0.10360389422215678,0.09920591827707986,-1.2949385319042905
double_lstm_with_attention,3500,64,8,4,4,0.0026743744410010583,0.0517143543032402,0.049338280139611675,0.42820400221852317
double_lstm_with_attention,500,64,16,4,8,0.005014847477708603,0.07081558781587993,0.06797898643753547,-0.07220203471768794
double_lstm_with_attention,500,64,4,4,8,0.0022421502193494675,0.04735134865396621,0.044583240951992356,0.520615923412357
double_lstm_with_attention,500,64,8,4,8,0.0048547683151282574,0.06967616748306596,0.056232191149180814,-0.03797622733321804
double_lstm_with_attention,1000,64,16,4,8,0.04209184969847629,0.205162983255938,0.19792062781716735,-7.999469493807762
double_lstm_with_attention,1000,64,4,4,8,0.006574725967009241,0.08108468392371793,0.07591424841367697,-0.40571265444738347
double_lstm_with_attention,1000,64,8,4,8,0.004198821065892155,0.064798310671592,0.06135611495224687,0.10226891041517405
double_lstm_with_attention,1500,64,16,4,8,0.014251687858972939,0.11938043331707646,0.11399375050794729,-2.0470894256457517
double_lstm_with_attention,1500,64,4,4,8,0.002603956136858856,0.05102897350387186,0.048214524852348804,0.44325982381992834
double_lstm_with_attention,1500,64,8,4,8,0.005529756596061,0.07436233318058949,0.07104916628021393,-0.18229244262066002
double_lstm_with_attention,2000,64,16,4,8,0.004885128377126521,0.06989369340023835,0.06603927359190315,-0.04446737594608985
double_lstm_with_attention,2000,64,4,4,8,0.005889129208851871,0.07674066203032047,0.073048921175888,-0.25912828825085343
double_lstm_with_attention,2000,64,8,4,8,0.00595196106760747,0.07714895376871594,0.07143941776456073,-0.2725620860088722
double_lstm_with_attention,2500,64,16,4,8,0.009041047932937961,0.0950844252910957,0.09048562910057092,-0.9330258861841909
double_lstm_with_attention,2500,64,4,4,8,0.05509613189054032,0.2347256523913403,0.22520169841528503,-10.779856711634977
double_lstm_with_attention,2500,64,8,4,8,0.014830308532206406,0.1217797541966907,0.1169436873426033,-2.170801715187629
double_lstm_with_attention,3000,64,16,4,8,0.0026192444015787487,0.05117855411770392,0.04849757339404845,0.4399911085473631
double_lstm_with_attention,3000,64,4,4,8,0.005257082109798494,0.07250573846116247,0.06857607078727494,-0.12399313435937542
double_lstm_with_attention,3000,64,8,4,8,0.024232040912660936,0.15566644118968267,0.15149865203054708,-4.180943924497762
double_lstm_with_attention,3500,64,16,4,8,0.002482890163499777,0.04982860788241807,0.04722712663465121,0.46914439629151106
double_lstm_with_attention,3500,64,4,4,8,0.011338190275867417,0.10648093855647318,0.10225284064309945,-1.424167581933335
double_lstm_with_attention,3500,64,8,4,8,0.005759679076434456,0.07589254954496163,0.07152468986137805,-0.23145113635552916
double_lstm_with_attention,500,64,16,4,16,0.005995913517897259,0.07743328430266444,0.07377457289330092,-0.28195936216552875
double_lstm_with_attention,500,64,4,4,16,0.0035281127254327338,0.05939791852777952,0.055864869636039066,0.24567005083655835
double_lstm_with_attention,500,64,8,4,16,0.01004319899097153,0.10021576218824826,0.09414911133233045,-1.1472913066769084
double_lstm_with_attention,1000,64,16,4,16,0.0056208295199882425,0.0749721916445574,0.07158254000155591,-0.20176433578920294
double_lstm_with_attention,1000,64,4,4,16,0.002666867675666559,0.05164172417402966,0.048283940923590854,0.42980899002753936
double_lstm_with_attention,1000,64,8,4,16,0.006726454998604427,0.08201496813755661,0.07739816954401102,-0.4381531577977342
double_lstm_with_attention,1500,64,16,4,16,0.00556955654056355,0.07462946161244599,0.07064466747541653,-0.19080189014961735
double_lstm_with_attention,1500,64,4,4,16,0.0022453494167466582,0.04738511809362364,0.04413951799120073,0.5199319173734936
double_lstm_with_attention,1500,64,8,4,16,0.006422152649258476,0.08013833445523108,0.0769810826419901,-0.3730916380629039
double_lstm_with_attention,2000,64,16,4,16,0.005356318210876665,0.07318687184787082,0.06962131585877837,-0.1452103598017096
double_lstm_with_attention,2000,64,4,4,16,0.001495323764257452,0.03866941639406331,0.03529809247915648,0.6802915363377848
double_lstm_with_attention,2000,64,8,4,16,0.003562360037883121,0.05968550944645711,0.05699755010473927,0.2383477866488355
double_lstm_with_attention,2500,64,16,4,16,0.023566410229553546,0.15351355063822067,0.1474215312909799,-4.038628415208461
double_lstm_with_attention,2500,64,8,4,16,0.0029610918742733368,0.05441591563387808,0.051893482653639016,0.3669022344758207
double_lstm_with_attention,3000,64,16,4,16,0.019015344526846428,0.1378961367364816,0.13281662594150448,-3.065585480549542
double_lstm_with_attention,3000,64,8,4,16,0.011437304963626218,0.1069453363341582,0.10222465104111261,-1.4453588485387057
double_lstm_with_attention,3500,64,16,4,16,0.003782929036219992,0.06150552037191452,0.05868106857014846,0.19118891893378087
