model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,500,64,4,4,4,0.023879452361678252,0.1545297782360353,0.14914851119500008,-2.492191788823848
double_lstm_with_attention,500,64,32,4,4,0.001232566748924006,0.03510793000055694,0.027842592325493742,0.8197463068006804
double_lstm_with_attention,500,64,8,4,4,0.006059000213326046,0.07783957999196839,0.06876172072184249,0.11391641345111259
double_lstm_with_attention,500,64,16,4,4,0.005381422700299541,0.0733581808682545,0.06649062657013405,0.21300707061711088
double_lstm_with_attention,1000,64,4,4,4,0.00631010442395862,0.0794361657178808,0.07303774695777726,0.07719429565592295
double_lstm_with_attention,1000,64,32,4,4,0.004750534246038072,0.06892411947959924,0.0641756973748429,0.3052698011967846
double_lstm_with_attention,1000,64,16,4,4,0.010390216219554988,0.10193241005467783,0.09253245767855521,-0.5194916205140396
double_lstm_with_attention,1000,64,8,4,4,0.0008079085492754598,0.028423732148953624,0.021330799085598248,0.8818494009339977
double_lstm_with_attention,1500,64,4,4,4,0.006720137326630218,0.0819764437300754,0.07523213596035984,0.01723004211402457
double_lstm_with_attention,1500,64,32,4,4,0.0036263540693762123,0.06021921677816984,0.052311788005476395,0.46967276666835867
double_lstm_with_attention,1500,64,16,4,4,0.009568336150937719,0.09781787234926816,0.09062893953049442,-0.39929779095916884
double_lstm_with_attention,1500,64,8,4,4,0.0019383482414748,0.044026676475459735,0.03688697039613765,0.7165310280053796
double_lstm_with_attention,2000,64,4,4,4,0.007116301691659883,0.08435817501380577,0.07736617941444221,-0.04070604124446264
double_lstm_with_attention,2000,64,32,4,4,0.0010993617093182724,0.03315662391315304,0.026024729300097103,0.8392265502541532
double_lstm_with_attention,2000,64,16,4,4,0.00877526024677523,0.09367635906019849,0.08581901823232724,-0.28331635560284973
double_lstm_with_attention,2000,64,8,4,4,0.0022937852651745564,0.04789347831568048,0.041421837489777805,0.6645510145273386
double_lstm_with_attention,2500,64,4,4,4,0.006254714845942227,0.07908675518658119,0.07239353214547503,0.08529460828477065
double_lstm_with_attention,2500,64,32,4,4,0.005913040010841737,0.07689629386935197,0.06954929776295972,0.13526200433362268
double_lstm_with_attention,2500,64,16,4,4,0.010068082787090326,0.10033983649124771,0.08214402770289204,-0.47238200883952497
double_lstm_with_attention,2500,64,8,4,4,0.0029774369253014145,0.054565895257948575,0.04696533919912515,0.5645720586555458
double_lstm_with_attention,3000,64,4,4,4,0.0052748227050723505,0.07262797467279637,0.06719218155861188,0.22859652477973935
double_lstm_with_attention,3000,64,32,4,4,0.005063981855920294,0.07116166001380445,0.061592647772910715,0.2594304262865875
double_lstm_with_attention,3000,64,16,4,4,0.010068082787090326,0.10033983649124771,0.08214402770289204,-0.47238200883952497
double_lstm_with_attention,3000,64,8,4,4,0.007813836453992622,0.0883959074504732,0.07888155204335788,-0.14271529725850596
double_lstm_with_attention,3500,64,4,4,4,0.003344921215755534,0.057835293858988335,0.05171782484414602,0.5108302222763702
double_lstm_with_attention,3500,64,32,4,4,0.003996632300749099,0.0632189235968875,0.056049859418480154,0.41552233727008026
double_lstm_with_attention,3500,64,16,4,4,0.010068082787090326,0.10033983649124771,0.08214402770289204,-0.47238200883952497
double_lstm_with_attention,3500,64,8,4,4,0.0020054165266594724,0.044781877212321866,0.038169584408348264,0.7067227915657418
double_lstm_with_attention,500,64,4,4,8,0.006228762958670102,0.07892251236922265,0.07406245826696096,0.0890898782207612
double_lstm_with_attention,500,64,32,4,8,0.010068081094726029,0.10033982805808483,0.08214402120508625,-0.47238176134386967
double_lstm_with_attention,500,64,16,4,8,0.010068081094726029,0.10033982805808483,0.08214402120508625,-0.47238176134386967
double_lstm_with_attention,500,64,8,4,8,0.017138681265480224,0.1309147862751959,0.11211926820958361,-1.5064042960478
double_lstm_with_attention,1000,64,4,4,8,0.004149781661699005,0.06441879897746468,0.056542178584564534,0.39312538558658305
double_lstm_with_attention,1000,64,32,4,8,0.010068081094726029,0.10033982805808483,0.08214402120508625,-0.47238176134386967
double_lstm_with_attention,1000,64,16,4,8,0.010068081094726029,0.10033982805808483,0.08214402120508625,-0.47238176134386967
double_lstm_with_attention,1000,64,8,4,8,0.010697094778675292,0.1034267604572206,0.09670679166317651,-0.5643703207494708
double_lstm_with_attention,1500,64,4,4,8,0.0002865405042981864,0.016927507326779875,0.013894954427441576,0.9580955885788478
double_lstm_with_attention,1500,64,32,4,8,0.010068082787090326,0.10033983649124771,0.08214402770289204,-0.47238200883952497
double_lstm_with_attention,1500,64,16,4,8,0.010068079270210408,0.10033981896640241,0.08214401450607337,-0.4723814945220697
double_lstm_with_attention,1500,64,8,4,8,0.007108734099234743,0.08431330914650867,0.07782379027544177,-0.03959933729966658
double_lstm_with_attention,2000,64,4,4,8,0.0035468568327478773,0.05955549372432301,0.04891953737897755,0.4812986445479194
