model,epochs,batchsize,units1,units2,units3,futurestep,inputstep,RMSE,MSE,MAE,AR2
double_lstm_with_attention,1000,512,64,16,32,1,5,0.006708572275089973,4.500494197010586e-05,0.005075885615751942,0.9903776953203076
double_lstm_with_attention,1000,512,64,16,32,1,10,0.01837266260178751,0.00033755473107912145,0.011595633117216767,0.9278289377492716
double_lstm_with_attention,1000,512,64,16,32,1,15,0.07391152145437689,0.005462913003700816,0.04397877376319964,-0.16800091410359008
double_lstm_with_attention,1000,512,64,16,32,1,20,0.026722709747893935,0.0007141032162701855,0.016339405443139277,0.8473207959191639
double_lstm_with_attention,1000,512,64,16,32,1,25,0.016694734281030035,0.00027871415271419947,0.01556281901894149,0.9404093777581194
double_lstm_with_attention,1000,512,64,16,32,1,30,0.04916464839194484,0.0024171626515035647,0.04085451888614485,0.48319730067445166
double_lstm_with_attention,1000,512,64,16,32,5,5,0.015278015603824892,0.0002334177607907169,0.013422232634694525,0.9487259203713039
double_lstm_with_attention,1000,512,64,16,32,5,10,0.009505041639125786,9.034581656151501e-05,0.006344340834109677,0.9802103087663734
double_lstm_with_attention,1000,512,64,16,32,2,5,0.01336665365995606,0.0001786674300652167,0.008652459628660885,0.9615194335571865
double_lstm_with_attention,1000,512,64,16,32,5,15,0.02411813606741015,0.0005816844873661102,0.014481495160124352,0.872285167862496
double_lstm_with_attention,1000,512,64,16,32,5,20,0.028802352487404634,0.000829575508808704,0.01699421255437019,0.8178199063850748
double_lstm_with_attention,1000,512,64,16,32,2,10,0.007759654385077807,6.021223617585723e-05,0.005646095443543279,0.9870298402959887
double_lstm_with_attention,1000,512,64,16,32,2,25,0.06880581534483862,0.00473424022526803,0.054113236686951505,-0.019603727465054233
double_lstm_with_attention,1000,512,64,16,32,2,15,0.012530196484844998,0.00015700582394882192,0.011150985793080884,0.9661848031925835
double_lstm_with_attention,1000,512,64,16,32,5,30,0.01807444712286426,0.00032668563879721614,0.016364305465245678,0.9281797756082385
double_lstm_with_attention,1000,512,64,16,32,5,25,0.029165491586874256,0.000850625899504033,0.015553698028513575,0.8131762736500568
double_lstm_with_attention,1000,512,64,16,32,2,20,0.027173271250975593,0.0007383866704790967,0.016542865438478487,0.840972947433885
double_lstm_with_attention,1000,512,64,16,32,2,30,0.03306439485203941,0.00109325420693157,0.017965372821000542,0.7645464363941081
