model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,500,64,4,4,4,0.0047142314317576,0.0686602609356945,0.0647515566453745,-0.007928666969192
double_lstm_with_attention,500,64,4,4,8,0.0022421502193494,0.0473513486539662,0.0445832409519923,0.520615923412357
double_lstm_with_attention,500,64,4,4,16,0.0035281127254327,0.0593979185277795,0.055864869636039,0.2456700508365583
double_lstm_with_attention,500,64,4,4,32,0.0096215569716059,0.098089535484709,0.0952779644647844,-1.0571419186654571
double_lstm_with_attention,500,64,4,4,64,0.0120275603191998,0.1096702344266659,0.1042182115266248,-1.571558697300259
double_lstm_with_attention,500,64,4,8,4,0.004381296244208,0.0661913607973735,0.0616119815743263,0.0632547114100212
double_lstm_with_attention,500,64,4,8,8,0.012806923547833,0.1131676789009698,0.1072502473815752,-1.7381908517653897
double_lstm_with_attention,500,64,4,8,16,0.0181367133926125,0.1346726156002493,0.1287141172663255,-2.877729300659831
double_lstm_with_attention,500,64,4,8,32,0.0059421133875992,0.0770851048361434,0.073264397135279,-0.2704565977384852
double_lstm_with_attention,500,64,4,8,64,0.0022829859275807,0.0477806020010287,0.0446219103381346,0.5118850238886313
double_lstm_with_attention,500,64,4,16,4,0.0048724688456852,0.0698030718928993,0.0667810411692641,-0.0417606983392018
double_lstm_with_attention,500,64,4,16,8,0.0075780923054056,0.0870522389453919,0.0835984747754235,-0.6202379085808138
double_lstm_with_attention,500,64,4,16,16,0.0017972495694996,0.0423939803450868,0.0389874501918776,0.6157381348328728
double_lstm_with_attention,500,64,4,16,32,0.0066376492790887,0.0814717698291177,0.0780535916500945,-0.4191660054301807
double_lstm_with_attention,500,64,4,16,64,0.0145424447466983,0.1205920592190811,0.1139041003023695,-2.109254851017741
double_lstm_with_attention,500,64,4,32,4,0.0129484879985404,0.1137914232204716,0.1090648342065076,-1.7684581116904292
double_lstm_with_attention,500,64,4,32,8,0.0024122543207441,0.0491147057483213,0.0460721046694723,0.4842467288476241
double_lstm_with_attention,500,64,4,32,16,0.0037891790597981,0.0615563080422965,0.0581708327218872,0.1898526294399786
double_lstm_with_attention,500,64,4,32,32,0.0094676908727825,0.0973020599616605,0.0936227335383101,-1.0242444985612846
double_lstm_with_attention,500,64,4,32,64,0.0161971369345772,0.1272679729334025,0.1218322256745326,-2.4630371621571174
double_lstm_with_attention,500,64,4,64,4,0.0086692031655708,0.0931085558129375,0.0890601110678444,-0.8535234251537585
double_lstm_with_attention,500,64,4,64,8,0.0031529591656604,0.0561512169561837,0.0527580015895459,0.3258799499227135
double_lstm_with_attention,500,64,4,64,16,0.0050909173378152,0.0713506645926668,0.0674500622995027,-0.0884661901380834
double_lstm_with_attention,500,64,4,64,32,0.0066643574265477,0.0816355157180239,0.0775462139366243,-0.4248763545836445
double_lstm_with_attention,500,64,4,64,64,0.012048324684667,0.1097648608830125,0.1055436071022569,-1.5759982330992115
double_lstm_with_attention,500,64,8,4,4,0.0008699289425451,0.02949455784624,0.0255851712423927,0.8140043966635333
double_lstm_with_attention,500,64,8,4,8,0.0048547683151282,0.0696761674830659,0.0562321911491808,-0.037976227333218
double_lstm_with_attention,500,64,8,4,16,0.0100431989909715,0.1002157621882482,0.0941491113323304,-1.1472913066769084
double_lstm_with_attention,500,64,8,4,32,0.0034413709252134,0.0586631990707417,0.0554476715505877,0.2642159258813291
double_lstm_with_attention,500,64,8,4,64,0.0068205490774261,0.0825866156070472,0.0784464201533482,-0.4582709905366213
double_lstm_with_attention,500,64,8,8,4,0.005880868198135,0.0766868189334714,0.0730640126356729,-0.2573620386213697
double_lstm_with_attention,500,64,8,8,8,0.010906924501127,0.1044362221699302,0.1000528311313328,-1.331960581972484
double_lstm_with_attention,500,64,8,8,16,0.0194958682309386,0.1396276055475373,0.1343731897525225,-3.168324097336587
double_lstm_with_attention,500,64,8,8,32,0.0159341706748,0.1262306249481482,0.119719012233969,-2.406813526234284
double_lstm_with_attention,500,64,8,8,64,0.0081329664919217,0.0901829612062151,0.0851275766404211,-0.7388730683617271
double_lstm_with_attention,500,64,8,16,4,0.0002497282768791,0.0158027933252067,0.0111907741777324,0.9466067177941844
double_lstm_with_attention,500,64,8,16,8,0.0037389770570427,0.061147175380738,0.0578799764525216,0.2005860943639817
double_lstm_with_attention,500,64,8,16,16,0.000369693397697,0.0192274126625768,0.0160706568988065,0.9209575136642923
double_lstm_with_attention,500,64,8,16,32,0.0067067393843026,0.0818946847133723,0.0778413870510432,-0.4339378507791216
double_lstm_with_attention,500,64,8,16,64,0.0058011876564679,0.076165528006231,0.0726205210167721,-0.2403258995797339
double_lstm_with_attention,500,64,8,32,4,0.0050215603736537,0.0708629689870084,0.0666086271044637,-0.0736372888751069
