model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,500,64,4,4,4,0.0238794523616782,0.1545297782360353,0.149148511195,-2.492191788823848
double_lstm_with_attention,500,64,4,4,8,0.0062287629586701,0.0789225123692226,0.0740624582669609,0.0890898782207612
double_lstm_with_attention,500,64,4,4,16,0.001802967801433,0.0424613683415059,0.0369597916280308,0.7363294075461058
double_lstm_with_attention,500,64,4,4,32,0.0028266283636821,0.0531660452138594,0.0481197679626951,0.5866266858971791
double_lstm_with_attention,500,64,4,4,64,0.00606436509424,0.0778740335043721,0.0699945677443161,0.1131318396345846
double_lstm_with_attention,500,64,4,8,4,0.0002254858054568,0.0150161847836539,0.0124697014633552,0.967024382871678
double_lstm_with_attention,500,64,4,8,8,0.0033779186539772,0.0581198645385315,0.0520166740613759,0.5060045930674245
double_lstm_with_attention,500,64,4,8,16,0.0112684442849836,0.1061529287630995,0.0965264535328434,-0.6479259242975972
double_lstm_with_attention,500,64,4,8,32,0.0119490637744913,0.1093117732656976,0.1045921989142345,-0.747461447833569
double_lstm_with_attention,500,64,4,8,64,0.0038303579868622,0.0618898859819784,0.0528735483186236,0.4398387154203453
double_lstm_with_attention,500,64,4,16,4,0.008291942596082,0.0910601043052449,0.0833545932045231,-0.2126347543005999
double_lstm_with_attention,500,64,4,16,8,0.0103213238735777,0.1015939165185481,0.0956731037923009,-0.5094166287893276
double_lstm_with_attention,500,64,4,16,16,0.0120335359760895,0.1096974747935865,0.0997283065771621,-0.7598148772312501
double_lstm_with_attention,500,64,4,16,32,0.0157751619654443,0.1255992116434029,0.1212880525535842,-1.3069997690357105
double_lstm_with_attention,500,64,4,16,64,0.008805268370027,0.0938363915015229,0.089437932561547,-0.2877048197950318
double_lstm_with_attention,500,64,4,32,4,0.0059769559657295,0.0773107752239591,0.0701270906195998,0.1259147726863758
double_lstm_with_attention,500,64,4,32,8,0.010659573117644,0.1032452086909799,0.0946175522015405,-0.558883057701228
double_lstm_with_attention,500,64,4,32,16,0.0151409774807206,0.1230486793131915,0.1166704957068459,-1.2142550185863374
double_lstm_with_attention,500,64,4,32,32,0.0025816780876021,0.0508102163703537,0.0424972411786572,0.6224488366668262
double_lstm_with_attention,500,64,4,32,64,0.0047739707077472,0.069093926706674,0.0607404999486919,0.3018423934865806
double_lstm_with_attention,500,64,4,64,4,0.0003022055481919,0.0173840601756888,0.0138625540079577,0.9558046927564112
double_lstm_with_attention,500,64,4,64,8,0.0173194226247258,0.1316032774087554,0.1248037929845394,-1.5328363716707458
double_lstm_with_attention,500,64,4,64,16,0.0067179821404267,0.0819632975204555,0.0753310752914736,0.0175452220205518
double_lstm_with_attention,500,64,4,64,32,0.0013138787382751,0.0362474652668997,0.0300509964382859,0.8078550348718265
double_lstm_with_attention,500,64,4,64,64,0.0027112007304849,0.0520691917594743,0.0440288070702179,0.603507116266748
double_lstm_with_attention,500,64,8,4,4,0.006059000213326,0.0778395799919683,0.0687617207218424,0.1139164134511125
double_lstm_with_attention,500,64,8,4,8,0.0171386812654802,0.1309147862751959,0.1121192682095836,-1.5064042960478
double_lstm_with_attention,500,64,8,4,16,0.0062794003709406,0.0792426676162571,0.0747018706719765,0.0816845343853996
double_lstm_with_attention,500,64,8,4,32,0.0049644030568679,0.0704585201155114,0.0669771901377493,0.2739930828804068
double_lstm_with_attention,500,64,8,4,64,0.0076209707252526,0.0872981713740481,0.0792541017383569,-0.1145101230338234
double_lstm_with_attention,500,64,8,8,4,0.0004819155984951,0.0219525761243447,0.0181932648534953,0.929523438373667
double_lstm_with_attention,500,64,8,8,8,0.0200085434546933,0.1414515586859804,0.1351479412801944,-1.9261002346493763
double_lstm_with_attention,500,64,8,8,16,0.0060559981650635,0.0778202940438003,0.0683546105651765,0.1143554406169438
double_lstm_with_attention,500,64,8,8,32,0.0008527687914436,0.0292022052496668,0.0234345419094241,0.8752889251336446
double_lstm_with_attention,500,64,8,8,64,0.0082337303092427,0.090739904723571,0.0843446554335523,-0.2041216415612452
double_lstm_with_attention,500,64,8,16,4,0.0187270482171501,0.1368468056519776,0.1297474166124439,-1.7386911149516728
double_lstm_with_attention,500,64,8,16,8,0.0004049128054154,0.0201224453140135,0.017362295466001,0.940784522490526
double_lstm_with_attention,500,64,8,16,16,0.0075891829341203,0.0871159166520122,0.0811645479899981,-0.1098613956888294
double_lstm_with_attention,500,64,8,16,32,0.0216610739216882,0.147177015602601,0.1358115116830162,-2.167770489067858
double_lstm_with_attention,500,64,8,16,64,0.0025656793477262,0.0506525354520998,0.0460070230483999,0.6247885330375821
double_lstm_with_attention,500,64,8,32,4,0.0041895360410502,0.0647266254415461,0.0564329653985605,0.3873116041381087
double_lstm_with_attention,500,64,8,32,8,0.0094490637684148,0.0972062949011781,0.0898838959222061,-0.3818550946790653
double_lstm_with_attention,500,64,8,32,16,0.0002825728157654,0.0168099023127887,0.013229170709275,0.9586758334313928
double_lstm_with_attention,500,64,8,32,32,0.0114442923629282,0.1069779994341279,0.0995385509805958,-0.6736423940297114
double_lstm_with_attention,500,64,8,32,64,0.0011022296756607,0.033199844512599,0.0295503707420474,0.8388071315689952
double_lstm_with_attention,500,64,8,64,4,0.0053724865998928,0.0732972482422963,0.0670741748849383,0.2143139086463839
double_lstm_with_attention,500,64,8,64,8,0.0038952868793306,0.0624122334108519,0.0576949116662058,0.430343349207537
double_lstm_with_attention,500,64,8,64,16,0.0100680760176358,0.1003398027586052,0.0821440017116688,-0.4723810188572948
double_lstm_with_attention,500,64,8,64,32,0.0040472965327359,0.063618366316151,0.0549509867351512,0.4081130712512502
double_lstm_with_attention,500,64,8,64,64,0.0063360031472231,0.0795990147377665,0.0720182644384328,0.0734068005594839
double_lstm_with_attention,500,64,16,4,4,0.0053814227002995,0.0733581808682545,0.066490626570134,0.2130070706171108
double_lstm_with_attention,500,64,16,4,8,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,16,4,16,0.0082993112415083,0.0911005556597123,0.0836683782341813,-0.213712363730774
double_lstm_with_attention,500,64,16,4,32,0.0099336315432785,0.0996676052851605,0.0928624722383693,-0.4527195173164728
double_lstm_with_attention,500,64,16,4,64,0.0149013946683241,0.1220712688077097,0.1142323936798603,-1.1792178193439842
double_lstm_with_attention,500,64,16,8,4,0.0075011938480572,0.086609432789144,0.080139297064272,-0.0969936481709381
double_lstm_with_attention,500,64,16,8,8,0.0050041728255081,0.0707401782971184,0.0645315656602023,0.26817705086321
double_lstm_with_attention,500,64,16,8,16,0.0069263225155059,0.0832245307316658,0.0763304714479429,-0.0129230038044241
double_lstm_with_attention,500,64,16,8,32,0.0014262202621434,0.037765331484623,0.0291764904386418,0.791425924972027
double_lstm_with_attention,500,64,16,8,64,0.0100613304112602,0.1003061833151888,0.0821015520083682,-0.4713945242409818
double_lstm_with_attention,500,64,16,16,4,0.0056642683145052,0.0752613334621788,0.0682835531435117,0.1716430093114483
double_lstm_with_attention,500,64,16,16,8,0.0073079288803681,0.0854864251233382,0.0793041548334927,-0.0687300882278931
double_lstm_with_attention,500,64,16,16,16,0.0100925571883834,0.1004617200150557,0.0942676408264228,-0.4759612074717942
double_lstm_with_attention,500,64,16,16,32,0.006482282345194,0.0805126222724984,0.0751744390311243,0.0520145589664858
double_lstm_with_attention,500,64,16,16,64,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,16,32,4,0.0054585862598141,0.0738822459039661,0.0644145611131726,0.2017224756083193
double_lstm_with_attention,500,64,16,32,8,0.0076297469495343,0.0873484227077647,0.081433592728045,-0.1157935803723393
double_lstm_with_attention,500,64,16,32,16,0.0006964950012452,0.0263911917359798,0.0209588430899575,0.8981428012893269
double_lstm_with_attention,500,64,16,32,32,0.0056066589964725,0.074877626808497,0.066501843723771,0.180067942360435
double_lstm_with_attention,500,64,16,32,64,0.027465301616375,0.1657265869327401,0.1571620720303816,-3.016595495137837
double_lstm_with_attention,500,64,16,64,4,0.0066705837839235,0.0816736419166153,0.07588094590493,0.0244768781103661
double_lstm_with_attention,500,64,16,64,8,0.0194021396560432,0.1392915634776322,0.1296634375730557,-1.8374182023195256
double_lstm_with_attention,500,64,16,64,16,0.0065392544556692,0.0808656568369368,0.0752748912857741,0.0436828127697949
double_lstm_with_attention,500,64,16,64,32,0.0043981319631061,0.0663184134543802,0.0567050498603211,0.356806006473949
double_lstm_with_attention,500,64,16,64,64,0.002582687747187,0.0508201509953192,0.0409953083932477,0.6223011814836826
double_lstm_with_attention,500,64,32,4,4,0.001232566748924,0.0351079300005569,0.0278425923254937,0.8197463068006804
double_lstm_with_attention,500,64,32,4,8,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,32,4,16,0.0066610556748227,0.081615290692509,0.0747181287596003,0.0258702929952919
double_lstm_with_attention,500,64,32,4,32,0.0125666766987172,0.1121011895508571,0.106279025357225,-0.8377827311689632
double_lstm_with_attention,500,64,32,4,64,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,32,8,4,0.005070547058161,0.0712077738604504,0.0621183984530681,0.2584703144293344
double_lstm_with_attention,500,64,32,8,8,0.004637466792012,0.0680989485382268,0.0610324057810328,0.3218050729673596
double_lstm_with_attention,500,64,32,8,16,0.0098119025266768,0.0990550479616101,0.0921795888062476,-0.4349175566266132
double_lstm_with_attention,500,64,32,8,32,0.0148433314105527,0.121833211443156,0.0999872669303944,-1.1707265009941974
double_lstm_with_attention,500,64,32,8,64,0.0093040366700061,0.096457434498364,0.0854892505755826,-0.3606459633075145
double_lstm_with_attention,500,64,32,16,4,0.0019964598639809,0.0446817620957475,0.0408319744448263,0.7080326366738847
double_lstm_with_attention,500,64,32,16,8,0.0039347322461159,0.0627274441222974,0.0547023832793003,0.4245747585418735
