model,epochs,batchsize,units1,units2,units3,futurestep,inputstep,RMSE,MSE,MAE,AR2
double_lstm_with_attention,1000,512,64,16,32,1,5,0.00696891389071964,4.8565760816265145e-05,0.005329111119495013,0.9928976197371795
double_lstm_with_attention,1000,512,64,16,32,1,15,0.007696262423464568,5.92324552908327e-05,0.006149207933419024,0.9913376952341472
double_lstm_with_attention,1000,512,64,16,32,1,10,0.011658407034204371,0.00013591845457518596,0.009100357938633221,0.9801229398468612
double_lstm_with_attention,1000,512,64,16,32,1,20,0.016887227438925137,0.0002851784505739861,0.013681882699324754,0.9582947787763259
double_lstm_with_attention,1000,512,64,16,32,1,30,0.024100589228095378,0.0005808384011413869,0.019343029824793988,0.9150567163611047
double_lstm_with_attention,1000,512,64,16,32,1,25,0.00820285552206447,6.728683871586357e-05,0.006590661769048317,0.9901598017366368
double_lstm_with_attention,1000,512,64,16,32,5,5,0.0077379339648766835,5.987562204479219e-05,0.006056282954958319,0.9912019416950483
double_lstm_with_attention,1000,512,64,16,32,2,5,0.00689563795979853,4.754982287261443e-05,0.005079452756293233,0.9930362341960994
double_lstm_with_attention,1000,512,64,16,32,5,10,0.008708933784578246,7.584552766416838e-05,0.006701575123633376,0.9888513190202561
double_lstm_with_attention,1000,512,64,16,32,2,10,0.007934787001286673,6.296084475578794e-05,0.0063189279144446955,0.9907767937127081
double_lstm_with_attention,1000,512,64,16,32,5,15,0.007584344083130392,5.752227517131498e-05,0.005879149190869104,0.9915467021502244
double_lstm_with_attention,1000,512,64,16,32,2,15,0.09508216909644746,0.009040618880085427,0.08228926057363892,-0.3238557246336795
double_lstm_with_attention,1000,512,64,16,32,5,20,0.0075302606505075285,5.670482546458206e-05,0.005837998683088157,0.9916668574497075
double_lstm_with_attention,1000,512,64,16,32,2,20,0.08271031520091923,0.006840996240635412,0.07188816855399219,-0.0017750580395090587
double_lstm_with_attention,1000,512,64,16,32,5,25,0.01142502887397481,0.0001305312847711581,0.009285317807098844,0.9808198891219458
double_lstm_with_attention,1000,512,64,16,32,2,25,0.026759836164891224,0.0007160888315718202,0.022479561379006405,0.8951630503517186
double_lstm_with_attention,1000,512,64,16,32,2,30,0.017027468389685906,0.0002899346797617527,0.014104473790952747,0.9575353132268613
double_lstm_with_attention,1000,512,64,16,32,5,30,0.007582678390469212,5.7497011573288763e-05,0.005899657416903048,0.9915509312579504
