model,epochs,batchsize,units1,units2,MSE,RMSE,MAE,AR2
double_lstm,500,64,4,4,0.006220618911587697,0.07887090028386703,0.07547548311546788,-0.33000261400875575
double_lstm,500,64,4,8,0.0028695395557782662,0.05356808336853453,0.05241082341828729,0.38647662484559286
double_lstm,500,64,4,16,0.00890305639920253,0.09435600881344298,0.0908244134444811,-0.9035225356032186
double_lstm,500,64,4,32,0.0018403670973016902,0.042899499965637015,0.04071828859622098,0.6065193697065383
double_lstm,500,64,4,64,0.003811074291328789,0.06173389904524733,0.055480228111618485,0.18517130824283923
double_lstm,500,64,8,4,0.008604184695916542,0.09275874457923923,0.08952331921764015,-0.8396221179320518
double_lstm,500,64,8,8,0.004763606055868619,0.06901888187929893,0.05427765461187932,-0.01848523377815403
double_lstm,500,64,8,16,0.00021495419661100783,0.014661316332819772,0.011535466241053281,0.9540416078451228
double_lstm,500,64,8,32,0.001984487621873344,0.04454758828346765,0.04303084217180892,0.5757056070991631
double_lstm,500,64,8,64,0.002885023248403809,0.05371241242398082,0.051583149353395356,0.3831661260095174
double_lstm,500,64,16,4,0.004766370079937721,0.06903890265594986,0.05434336367297738,-0.019076197360610836
double_lstm,500,64,16,8,0.004478097541068945,0.06691858890524326,0.06436984492626935,0.04255806053102984
double_lstm,500,64,16,16,0.0023820201622052816,0.048805943922900226,0.04632566329985666,0.4907109586068522
double_lstm,500,64,16,32,0.004766369666578873,0.06903889966228367,0.05434335392626869,-0.01907610898221046
double_lstm,500,64,16,64,0.006191291084637987,0.07868475763855404,0.074928903565312,-0.32373216293938545
double_lstm,500,64,32,4,0.07367102525764624,0.2714240690462919,0.2626597732665847,-14.751271306276873
double_lstm,500,64,32,8,0.012557945829228052,0.11206224087188357,0.10434724756623816,-1.6849580430560023
double_lstm,500,64,32,16,0.025148792889766937,0.15858370940852323,0.14936456519739377,-4.376950550731916
double_lstm,500,64,32,32,0.041454177779475875,0.20360299059560955,0.19244383452888136,-7.863131722405194
double_lstm,500,64,32,64,0.014353280577405213,0.11980517759014096,0.11432602722551054,-2.0688105088690762
double_lstm,500,64,64,4,0.10800574708987111,0.328642278305563,0.3214418739440749,-22.092224101674425
double_lstm,500,64,64,8,0.004766370079937721,0.06903890265594986,0.05434336367297738,-0.019076197360610836
double_lstm,500,64,64,16,0.004766370079937721,0.06903890265594986,0.05434336367297738,-0.019076197360610836
double_lstm,500,64,64,32,0.0047663692532210235,0.06903889666862459,0.054343344179559994,-0.01907602060402369
double_lstm,500,64,64,64,0.04145419076916409,0.2036030224951587,0.19244386653264617,-7.863134499672139
double_lstm,500,128,4,4,0.0002160346792294777,0.014698118220693345,0.012456096182358305,0.9538105947052118
double_lstm,500,128,4,8,0.0015409779657284339,0.03925529220026815,0.03759488668344878,0.6705304163978092
double_lstm,500,128,4,16,7.476529588774353e-05,0.008646692771675395,0.0066884934279935115,0.9840147676009207
