timestamp,requests,predict
2015-03-16 00:00:00,84474,0
2015-03-16 00:01:00,83668,0
2015-03-16 00:02:00,83777,0
2015-03-16 00:03:00,82464,0
2015-03-16 00:04:00,83901,0
2015-03-16 00:05:00,82357,0
2015-03-16 00:06:00,81757,0
2015-03-16 00:07:00,81798,0
2015-03-16 00:08:00,82724,0
2015-03-16 00:09:00,82219,0
2015-03-16 00:10:00,82270,82476
2015-03-16 00:11:00,82644,82475
2015-03-16 00:12:00,82433,82635
2015-03-16 00:13:00,82821,82525
2015-03-16 00:14:00,84810,82749
2015-03-16 00:15:00,84637,83637
2015-03-16 00:16:00,83652,84212
2015-03-16 00:17:00,82853,83816
2015-03-16 00:18:00,83508,83035
2015-03-16 00:19:00,83793,83280
2015-03-16 00:20:00,83542,83558
2015-03-16 00:21:00,81922,83599
2015-03-16 00:22:00,81971,82424
2015-03-16 00:23:00,80824,82341
2015-03-16 00:24:00,82928,81438
2015-03-16 00:25:00,83423,82304
2015-03-16 00:26:00,83413,82960
2015-03-16 00:27:00,82535,83386
2015-03-16 00:28:00,83546,82887
2015-03-16 00:29:00,83977,83268
2015-03-16 00:30:00,84258,83599
2015-03-16 00:31:00,84084,83940
2015-03-16 00:32:00,83223,83993
2015-03-16 00:33:00,82274,83367
2015-03-16 00:34:00,82656,82611
2015-03-16 00:35:00,83260,82736
2015-03-16 00:36:00,82781,83093
2015-03-16 00:37:00,83425,82989
2015-03-16 00:38:00,82224,83371
2015-03-16 00:39:00,83549,82631
2015-03-16 00:40:00,87257,83218
2015-03-16 00:41:00,84279,84414
2015-03-16 00:42:00,84643,84379
2015-03-16 00:43:00,84253,84593
2015-03-16 00:44:00,84843,84175
2015-03-16 00:45:00,83866,84505
2015-03-16 00:46:00,84035,83988
2015-03-16 00:47:00,84858,84079
2015-03-16 00:48:00,84786,84537
2015-03-16 00:49:00,85388,84777
2015-03-16 00:50:00,86041,85224
2015-03-16 00:51:00,85460,85640
2015-03-16 00:52:00,85340,85487
2015-03-16 00:53:00,86257,85325
2015-03-16 00:54:00,84997,85788
2015-03-16 00:55:00,83270,85119
2015-03-16 00:56:00,83046,83723
2015-03-16 00:57:00,83061,83474
2015-03-16 00:58:00,82573,83381
2015-03-16 00:59:00,82775,83089
2015-03-16 01:00:00,83609,83142
2015-03-16 01:01:00,83082,83545
2015-03-16 01:02:00,84570,83397
2015-03-16 01:03:00,84408,84074
2015-03-16 01:04:00,84576,84271
2015-03-16 01:05:00,84664,84443
2015-03-16 01:06:00,81843,84512
2015-03-16 01:07:00,81449,82205
2015-03-16 01:08:00,81560,81965
2015-03-16 01:09:00,84011,81846
2015-03-16 01:10:00,85028,82885
2015-03-16 01:11:00,84362,83930
2015-03-16 01:12:00,83324,84464
2015-03-16 01:13:00,82863,83708
2015-03-16 01:14:00,82989,83055
2015-03-16 01:15:00,84697,82960
2015-03-16 01:16:00,82923,83748
2015-03-16 01:17:00,82436,83186
2015-03-16 01:18:00,83518,82841
2015-03-16 01:19:00,83056,83335
2015-03-16 01:20:00,86600,83212
2015-03-16 01:21:00,85003,84345
2015-03-16 01:22:00,83735,84796
2015-03-16 01:23:00,84037,84045
2015-03-16 01:24:00,83436,83978
2015-03-16 01:25:00,83441,83528
2015-03-16 01:26:00,83253,83493
