model,epochs,batchsize,units1,units2,units3,RMSE,MSE,MAE,AR2
double_lstm_with_attention,2000,1024,4,64,16,0.011937367503824275,0.0001425007429213598,0.010095368659796327,0.9695325556383867
double_lstm_with_attention,2000,1024,4,4,16,0.007239954511711273,5.241694133164842e-05,0.005910893939258853,0.9887929689987001
double_lstm_with_attention,2000,1024,8,8,64,0.008123442684859653,6.59903210541998e-05,0.0066895068885957885,0.9858909055917457
double_lstm_with_attention,500,1024,16,64,16,0.010274843583199784,0.00010557241065922178,0.008214364529834718,0.9774280366407893
double_lstm_with_attention,500,1024,16,8,16,0.012715303024120002,0.00016167893099519528,0.01133111378033703,0.9654321533098276
double_lstm_with_attention,500,1024,16,16,16,0.011646785164629744,0.0001356476046710395,0.01021708895889304,0.9709977943737335
double_lstm_with_attention,3000,512,8,4,16,0.009560201648977425,9.139745556911068e-05,0.008155791991507448,0.9804587201774685
double_lstm_with_attention,3000,1024,32,8,4,0.008526997549673987,7.270968721214618e-05,0.00722843320495427,0.9844542680671574
double_lstm_with_attention,3000,1024,8,64,8,0.007443163910988484,5.5400689005841386e-05,0.005878657268867488,0.9881550272982645
double_lstm_with_attention,3000,1024,8,64,32,0.006722065207463084,4.518616065338571e-05,0.005303899162928745,0.9903389497668675
double_lstm_with_attention,3000,1024,4,16,4,0.005958201559132043,3.550016581924352e-05,0.004336009297149246,0.9924098688557523
